title,slug,permalink,projecturl,imageurl,tags,tagline,author,maintainers,contributors,github_user,github_repo,language,type,stage,activity_status,maturity_status,featured,helpwanted,typeofhelp,redirect_from,sort_order
CKAN,,,http://ckan.org/,,,,,,,,,,,,active,mature,,,,,
OpenSpending,,,https://openspending.org/,,,,,,,,,,,,active,mature,,,,,
OpenTrials,,,http://opentrials.net/,,,,,,,,,,,,active,teenager,,,,,
Core Datasets,,,http://data.okfn.org/roadmap/core-datasets,,,,,,,,,,,,active,adult,,,,,
MicroFacts,,,,,,,,,,,,,,,retired,teenager,,,,,
Knowledgeforge,,,http://webarchive.okfn.org/okfn.org/201404/kforge/,,,,,,,,,,,,retired,mature,,,,,
DataHub.io,,,https://datahub.io/,,,,,,,,,,,,semi-active,mature,,,,,
OpenShakespeare,,,http://www.opensourceshakespeare.org/,,,,,,,,,,,,retired,mature,,,,,
OpenLiterature,,,http://openliterature.net/,,,,,,,,,,,,dormant,teenager,,,,,
IsItOpenData,,,http://www.isitopendata.org/,,,,,,,,,,,,retired,finished,,,,,
Mira,mira,/projects/mira/index.html,,/img/projects/project-mira.png,"API, datapackage, csv, Ruby",create simple APIs from CSV files,David Brennan,,,davbre,mira,Ruby,"webapp, tool",,active,,true,,,,1
Puppycide Database Project,puppycidedb,/projects/puppycidedb/index.html,https://puppycidedb.com,https://pbs.twimg.com/profile_images/512989733039792131/lVEJbvP__200x200.jpeg,"sql, Visualization",The Puppycide Database Project researches and records killings of animals by police across the United States with the help of open source applications & crowd sourced research.,Puppycide Database Project,jaydubya,jaydubya,puppycidedb,pdb-database,"php, javascript, python, nodejs","data, webapp, running service",production,active,,true,true,"coding, data analysis, documenting, blogging, evangelism, project managing",,2
Good Tables,goodtables,/projects/goodtables/index.html,http://goodtables.okfnlabs.org/,/img/projects/project-goodtables.png,"Tabular Data, CSV, JSON Table Schema",Validate and process tabular data.,Paul Walsh,pwalsh,pwalsh,okfn,goodtables-web,"python, javascript, html, css","library, service",alpha,active,,true,true,"coding, testing",,3
Public Tika Server including OCR Service,tikaserver,/projects/tikaserver/index.html,http://beta.offenedaten.de:9998/tika,,ocr,"Turn many files, even text inside images, into text",Matt Fullerton,mattfullerton,,mattfullerton,tika-tesseract-docker,"Java, Dockerfile",service,alpha,active,,false,true,"coding, testing",,4
DataPortals.org,dataportals,/projects/dataportals/index.html,http://www.dataportals.org/,/img/projects/project-dataportals.png,node.js,A catalog of data portals around the world,Rufus Pollock,"rgrp, mattfullerton, schlos",,okfn,dataportals.org,JavaScript,webapp,mature,active,,false,true,"project managing, coding, testing",,5
Product Open Data,product-open-data,/projects/product-open-data/index.html,http://product.okfn.org/,/img/projects/project-product-open-data.png,,Building the world's largest public product database,Philippe Plagnol,,,okfn,product-browser-web,"Java, Objective-C, Python, PHP, CSS","data, webapp, running service",,active,,true,true,"coding, data analysis, data wrangling, testing, documenting, blogging, evangelism, project managing",,6
